Set,Price_Euro,Pieces,Minifigs
Corner Garage,,2569.0,6.0
Ford Mustang,,1471.0,
NASA Apollo 11 Lunar Lander,,1087.0,2.0
Gingerbread House,,1477.0,2.0
Harley-Davidson Fat Boy,,1023.0,
Woody & RC,,69.0,1.0
Duke Caboom's Stunt Show,,120.0,2.0
Buzz and Bo Peep's Playground Adventure,,139.0,3.0
RV Vacation,,178.0,3.0
Buzz & Woody's Carnival Mania!,,230.0,5.0
Carnival Thrill Coaster,,98.0,2.0
My First Tow Truck,,11.0,
My First Balancing Animals,,15.0,
My First Fun Puzzle,,15.0,
My First Car Creations,,34.0,
Creative Fun,,120.0,1.0
Mickey's Vacation House,,57.0,3.0
Spider-Man vs. Electro,,29.0,2.0
Toy Story Train,,21.0,2.0
Emmet and Lucy's Visitors from the DUPLO Planet,,53.0,2.0
My First Minnie Build,,10.0,
My First Mickey Build,,9.0,
Frozen Ice Castle,,59.0,3.0
Police Bike,,8.0,1.0
Fire Truck,,21.0,2.0
Police Station,,38.0,3.0
Fire Station,,76.0,2.0
Baby Animals,,9.0,
Tropical Island,,73.0,3.0
World Animals,,121.0,6.0
Plane,,12.0,1.0
Submarine Adventure,,24.0,2.0
Bricks and Ideas,,123.0,
Basic Brick Set ,,300.0,
Bricks and Eyes ,,451.0,
Windows of Creativity,,450.0,
Creative Fun,,900.0,
Star Wars: Build Your Own Adventure Galactic Missions parts,,66.0,1.0
The Book of Bedtime Builds parts,,68.0,
Harry Potter: Build Your Own Adventure parts,,101.0,1.0
Christmas Ideas parts,,41.0,
Wooden Minifigure parts,,29.0,
San Francisco,,565.0,
Paris,,649.0,
Trafalgar Square,,1197.0,
Empire State Building,,1767.0,
Burj Khalifa,,333.0,
Minecraft Steve BigFig with Parrot,,159.0,
Minecraft Alex BigFig with Chicken,,160.0,
Minecraft Skeleton BigFig with Magma Cube,,142.0,
The End Battle,,222.0,2.0
The Pirate Ship Adventure,,386.0,3.0
The Wool Farm,,260.0,1.0
The Blaze Bridge,,372.0,4.0
The Creeper Mine,,834.0,4.0
The Flintstones,,748.0,4.0
Steamboat Willie,,751.0,2.0
Tree House,,3036.0,4.0
Central Perk,,1070.0,7.0
Dinosaur Fossils,,910.0,2.0
My First Duck,,6.0,
Town Rescue - {Random Bag},,,
Town Rescue - Bird,,,
Town Rescue - Fireman,,,
Town Rescue - Cat,,,
Town Rescue - Policewoman,,,
Town Rescue - Dog,,,
Emmet's 'Piece' Offering,,44.0,1.0
Fire ATV,,39.0,1.0
Sky Police Jetpack,,33.0,2.0
Race Boat,,34.0,1.0
Popcorn Cart,,43.0,1.0
Space Satellite,,36.0,1.0
Naboo Starfighter,,48.0,
Snowspeeder,,49.0,
Minecraft Steve and Creeper Set,,36.0,2.0
Tulips,,90.0,
Emma's Bumper Cars,,66.0,1.0
Mia's Water Fun,,28.0,1.0
Spider-Man's Mini Spider Crawler,,73.0,1.0
Iron Man and Dum-E,,38.0,1.0
Rex's Plantimal Ambush,,32.0,1.0
Podracer,,58.0,
Lucy vs. Alien Invader,,44.0,1.0
Mini Master-Building MetalBeard,,42.0,1.0
Mini Master-Building Emmet,,49.0,1.0
Sam-X,,56.0,
Ninja Workout,,31.0,1.0
Fire Flight,,54.0,1.0
Fish Free Builds - Make It Yours,,39.0,
Elsa's Winter Throne,,42.0,1.0
Pelican,,62.0,
Race Car,,68.0,
Santa,,67.0,
Star-Stuck Emmet,,41.0,1.0
SHAZAM!,,5.0,1.0
Obi-Wan Kenobi - Collectable Minifigure,,12.0,1.0
Futuristic Flyer,,157.0,
Dune Buggy,,147.0,
Deep Sea Creatures,,230.0,
Sunset Track Racer,,221.0,
Underwater Robot,,207.0,
Shuttle Transporter,,341.0,
Helicopter Adventure,,114.0,
Riverside Houseboat,,396.0,2.0
Race Plane,,333.0,1.0
Fairground Carousel,,595.0,3.0
Twin-Rotor Helicopter,,569.0,1.0
Townhouse Pet Shop & Café,,969.0,3.0
Outback Cabin,,305.0,2.0
Year of the Pig,,152.0,
MSC Cruises,,181.0,
Jet Fighter,,23.0,
Caterpillar,,48.0,
Viking Ship,,54.0,
Ladybird,,27.0,
Crane,,64.0,
Frog,,39.0,
Ice Cream Truck,,48.0,
Racing Car,,50.0,
Eagle,,56.0,
UFO,,36.0,
Wolf,,47.0,
Penguin,,47.0,
Battle of Hoth - 20th Anniversary Edition,,195.0,
Avengers Tower,,211.0,1.0
Space Rocket Ride,,154.0,1.0
Newbury Juice Bar,,127.0,2.0
Microscale Gingerbread House,,499.0,
Christmas Tree,,392.0,
Sea Accessories,,24.0,
NINJAGO Minifigure Set,,59.0,4.0
Spider-Man and the Museum Break-In,,49.0,3.0
Summer Celebration Minifigure Pack,,45.0,4.0
Mars Exploration Minifigure Pack,,44.0,4.0
LEGOLAND® Park,,1336.0,11.0
LEGOLAND® Driving School Cars,,209.0,4.0
Birthday Clown,,150.0,
Valentine's Puppy,,147.0,
Easter Chick,,120.0,
Halloween Ghost,,136.0,
Thanksgiving Scarecrow,,177.0,
"Reindeer, Elf and Elfie",,281.0,
Dragon Dance Guy,,170.0,
LEGO House Exclusive Minifigure 2019,,7.0,1.0
LEGO Store Picture Frame,,170.0,1.0
Name Sign,,91.0,
Olaf's Traveling Sleigh,,97.0,1.0
Battle of Endor,,197.0,
LEGO House Dinosaurs,,864.0,
Lady Liberty,,153.0,
Xmas Accessories,,32.0,1.0
Rebuild the World minifigure,,6.0,
1989 Batmobile - Limited Edition,,366.0,
Reindeer,,77.0,
Plants from Plants,,29.0,
Jasmine's Petite Tower,,49.0,1.0
Cinderella's Carriage Ride,,91.0,1.0
Ariel's Castle,,115.0,1.0
Aladdin's and Jasmine's Palace Adventures,,193.0,2.0
"Ariel, Aurora, and Tiana's Royal Celebration",,282.0,3.0
Rapunzel's Small Tower,,44.0,1.0
Enchanted Treehouse,,302.0,3.0
Anna's Canoe Expedition,,108.0,2.0
Elsa and the Reindeer Carriage,,116.0,1.0
Arendelle Castle Village,,521.0,3.0
Elsa's Jewellery Box Creation,,300.0,1.0
Olaf,,122.0,
Underwater Loop,,389.0,2.0
Andrea's Heart Box,,84.0,1.0
Emma's Heart Box,,85.0,1.0
Stephanie's Heart Box,,85.0,1.0
Olivia's Heart Box,,85.0,2.0
Mia's Heart Box,,83.0,1.0
Heart Box Friendship Pack,,199.0,2.0
Emma's Mobile Veterinary Clinic ,,50.0,1.0
Mia's Foal Stable ,,118.0,1.0
Heartlake City Supermarket,,140.0,2.0
Mia's Forest Adventure,,134.0,1.0
Stephanie's Buggy & Trailer ,,166.0,1.0
Emma's Art Studio,,235.0,2.0
Olivia's Cupcake Cafe,,335.0,2.0
Stephanie's Horse Jumping,,337.0,2.0
Andrea's Talent Show,,492.0,2.0
Mia's House,,715.0,3.0
Mia's Horse Trailer,,216.0,2.0
Stephanie's Gymnastics Show,,241.0,2.0
Funny Octopus Ride,,324.0,2.0
Andrea's Pool Party,,468.0,2.0
Heartlake City Amusement Pier,,1251.0,7.0
Turtles Rescue Mission,,225.0,2.0
Dolphins Rescue Mission,,363.0,2.0
Heartlake City Restaurant,,624.0,3.0
Lighthouse Rescue Centre,,602.0,2.0
Rescue Mission Boat,,908.0,4.0
LEGO Friends Advent Calendar,,330.0,3.0
Olivia's Hamster Playground,,81.0,1.0
Andrea's Summer Heart Box,,83.0,1.0
Emma's Summer Heart Box,,86.0,1.0
Stephanie's Summer Heart Box,,95.0,1.0
Olivia's Summer Heart Box,,93.0,2.0
Mia's Summer Heart Box,,85.0,1.0
Emmet,,113.0,
Wyldstyle,,134.0,
Benny,,103.0,
Sweet Mayhem,,137.0,
Cherry Picker,,155.0,
Power Boat,,174.0,
Getaway Truck,,128.0,
Police Pursuit,,120.0,
Rescue Helicopter,,325.0,
Chevrolet Corvette ZR1,,579.0,
Tracked Loader,,827.0,
Remote-Controlled Stunt Racer,,324.0,
Porsche 911 RSR,,1580.0,
Compact Crawler Crane,,920.0,
Car Transporter,,2493.0,
4x4 X-Treme Off-Roader,,958.0,
Liebherr R 9800,,4108.0,
Land Rover Defender,,2573.0,
Elsa's Ice Palace,,701.0,7.0
City Shaper Challenge Kit,,2238.0,1.0
BOOMTOWN BUILD Inspire Set,,739.0,
BOOMTOWN BUILD Discovery Set,,78.0,4.0
Ski Resort,,806.0,11.0
Jet Patrol,,54.0,2.0
Sky Police Drone Chase,,192.0,3.0
Parachute Arrest,,218.0,4.0
Diamond Heist,,400.0,4.0
Air Base,,529.0,6.0
Barbecue Burn Out,,64.0,2.0
Dock Side Fire,,97.0,2.0
Burger Bar Fire Rescue,,327.0,3.0
Fire Station,,509.0,4.0
Downtown Fire Brigade,,943.0,7.0
Fire Plane,,363.0,3.0
Desert Rally Racer,,75.0,1.0
Construction Loader,,88.0,1.0
Garbage Truck,,90.0,2.0
Diving Yacht,,148.0,2.0
